time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653401619986,-0.08,0.04,0.11,0.06,1.46,9.84,4.31,10.23,19.67
1653401619996,-0.08,0.01,0.04,0.01,1.42,9.74,4.91,10.41,19.36
1653401620006,-0.07,0.07,-0.07,0.01,1.46,9.67,3.65,9.74,18.9
1653401620016,-0.1,0.05,-0.13,-0.04,1.48,9.57,1.48,8.59,18.97
1653401620026,-0.08,0.04,-0.17,-0.03,1.48,9.54,-0.34,8.27,19.22
1653401620036,-0.04,0.02,-0.14,0.01,1.47,9.56,-1.99,7.47,18.94
1653401620046,0,0.04,0.02,0.05,1.47,9.69,-2.44,6.56,19.25
1653401620056,0.01,0.03,0.06,0.05,1.47,9.76,-2.06,4.95,19.43
1653401620066,0.02,0.05,0.11,0.06,1.49,9.81,-0.52,2.43,19.08
1653401620076,-0.04,0.06,0.05,0,1.5,9.75,-0.52,-0.62,18.27
1653401620086,-0.08,0.08,0.03,-0.04,1.51,9.73,-0.97,-2.72,18.41
1653401620096,-0.01,0.04,0.07,0.05,1.48,9.77,-2.2,-4.5,18.27
1653401620106,0.04,0.03,0.13,0.11,1.46,9.8,-2.23,-4.82,17.96
1653401620116,0.04,0.01,0.19,0.13,1.46,9.88,-1.64,-4.08,17.71
1653401620126,0.07,-0.01,0.19,0.16,1.41,9.89,-0.38,-3.07,17.22
1653401620136,0.05,0.03,0.13,0.16,1.44,9.84,0.43,-2.09,17.19
1653401620146,0.11,0.04,0.04,0.19,1.47,9.76,1.16,-1.18,17.15
1653401620156,0.11,0.07,-0.11,0.23,1.5,9.64,1.02,-0.83,16.77
1653401620167,0.04,0.08,-0.09,0.18,1.49,9.61,0.25,-0.93,16.42
1653401620176,0.03,0.09,0.05,0.15,1.53,9.7,0.11,-1.56,16.45
1653401620187,0.07,0.13,0.11,0.22,1.55,9.79,0.99,-2.72,16.28
1653401620196,0.04,0.16,0.09,0.2,1.6,9.8,2.77,-3.91,15.75
1653401620206,0.06,0.1,0.05,0.23,1.54,9.75,3.54,-5.83,15.02
1653401620216,0.1,0.11,-0.02,0.26,1.57,9.68,3.93,-7.65,15.02
1653401620226,0.11,0.13,-0.08,0.31,1.59,9.61,4.24,-9.61,14.67
1653401620236,0.12,0.13,-0.18,0.33,1.61,9.54,3.44,-10.59,13.97
1653401620246,0.14,0.1,-0.14,0.36,1.56,9.53,2.18,-10,13.51
1653401620256,0.14,0.12,-0.06,0.4,1.59,9.63,0.32,-9.61,13.27
1653401620266,0.15,0.12,-0.04,0.42,1.59,9.64,0.57,-8.18,13.13
1653401620276,0.16,0.11,-0.07,0.44,1.58,9.63,0.25,-7.48,12.22
1653401620287,0.13,0.06,-0.05,0.47,1.51,9.61,0.5,-7.34,12.29
1653401620296,0.16,0.04,-0.01,0.47,1.5,9.67,1.23,-7.65,12.39
1653401620306,0.23,0.03,0.02,0.57,1.5,9.71,1.51,-8.18,11.62
1653401620317,0.24,0.05,0.01,0.6,1.5,9.71,1.9,-8.35,11.41
1653401620326,0.18,0.03,-0.01,0.56,1.51,9.67,1.44,-9.37,10.61
1653401620337,0.16,0.09,0.03,0.55,1.57,9.71,0.53,-10.35,9.98
1653401620346,0.24,0.06,0.08,0.66,1.53,9.76,0.6,-10.14,9.31
1653401620356,0.31,0,0.06,0.7,1.5,9.76,1.16,-9.37,8.96
1653401620367,0.31,-0.01,-0.03,0.77,1.47,9.65,1.79,-7.97,8.05
1653401620376,0.26,0,-0.12,0.74,1.48,9.58,1.2,-8.07,7.53
1653401620387,0.22,0.03,-0.16,0.71,1.51,9.53,1.51,-7.65,7.28
1653401620397,0.21,0.03,-0.06,0.71,1.51,9.62,1.76,-8.18,7
1653401620406,0.21,0.06,0.02,0.72,1.55,9.7,2.81,-9.54,6.37
1653401620417,0.19,0.08,-0.01,0.73,1.58,9.67,3.75,-11.33,5.67
1653401620426,0.19,0.07,-0.11,0.75,1.57,9.57,4.21,-12.48,5.22
1653401620436,0.23,0,-0.3,0.8,1.51,9.4,3.19,-11.89,5.08
1653401620446,0.26,-0.02,-0.35,0.86,1.49,9.32,1.34,-10.35,4.73
1653401620456,0.2,0.01,-0.31,0.82,1.52,9.36,-0.06,-8.91,4.17
1653401620466,0.11,0.07,-0.15,0.76,1.57,9.49,-0.76,-9.05,3.92
1653401620476,0.15,0.12,-0.15,0.8,1.62,9.52,-0.73,-8.32,3.54
1653401620487,0.13,0.06,-0.38,0.82,1.61,9.34,-1.18,-7.55,2.56
1653401620497,0.09,0.03,-0.42,0.77,1.53,9.25,-3.11,-7.06,2.03
1653401620507,0.07,0.02,-0.31,0.76,1.51,9.36,-4.89,-6.78,2.07
1653401620517,0.13,0.08,-0.02,0.82,1.55,9.59,-5.42,-8.04,2.21
1653401620527,0.1,0.07,0.11,0.82,1.55,9.76,-4.96,-9.4,1.89
1653401620536,0.06,0.05,0.11,0.81,1.52,9.81,-3.98,-9.96,1.16
1653401620547,0.05,0.04,0.08,0.82,1.51,9.76,-2.93,-9.58,0.77
1653401620556,-0.02,0.05,0.04,0.75,1.51,9.71,-2.48,-9.44,0.77
1653401620567,-0.05,0.07,0.02,0.74,1.54,9.69,-2.48,-9.86,0.56
1653401620577,-0.08,0.07,-0.06,0.74,1.52,9.61,-2.9,-8.07,0.88
1653401620587,-0.07,0.05,-0.08,0.74,1.5,9.59,-3.63,-5.69,1.09
1653401620597,-0.09,0.05,-0.03,0.73,1.5,9.64,-3.49,-4.54,1.37
1653401620607,-0.12,0.07,0.05,0.7,1.53,9.69,-3.63,-4.78,1.93
1653401620617,-0.11,0.07,0.06,0.72,1.5,9.72,-2.51,-5.41,1.93
1653401620626,-0.1,0.07,0.01,0.74,1.51,9.68,-1.53,-6.22,2.1
1653401620637,-0.07,0.04,-0.11,0.76,1.47,9.59,-1.22,-6.36,2.28
1653401620646,-0.08,0.05,-0.17,0.8,1.47,9.48,-1.74,-6.6,2.7
1653401620657,-0.12,0.07,-0.2,0.75,1.5,9.46,-2.44,-6.46,3.26
1653401620667,-0.14,0.02,-0.26,0.74,1.46,9.42,-2.97,-6.5,3.12
1653401620676,-0.15,0.01,-0.27,0.74,1.43,9.39,-3.7,-6.18,3.75
1653401620687,-0.15,0.01,-0.26,0.73,1.4,9.39,-4.54,-6.64,4.06
1653401620697,-0.1,0,-0.19,0.81,1.41,9.48,-5.07,-5.1,4.45
1653401620706,-0.07,-0.03,-0.15,0.85,1.37,9.52,-5.59,-3.94,4.52
1653401620717,-0.14,-0.04,-0.16,0.81,1.36,9.52,-6.05,-3.21,4.38
1653401620727,-0.14,-0.04,-0.17,0.78,1.34,9.49,-6.85,-2.19,4.76
1653401620737,-0.14,-0.05,-0.22,0.78,1.31,9.45,-7.66,-1.18,5.01
1653401620747,-0.11,-0.07,-0.2,0.81,1.28,9.47,-8.36,-0.13,5.36
1653401620757,-0.01,-0.09,-0.22,0.88,1.28,9.47,-8.85,0.61,5.25
1653401620767,-0.02,-0.09,-0.22,0.91,1.23,9.45,-9.62,1.41,5.29
1653401620776,-0.06,-0.06,-0.13,0.86,1.24,9.55,-10.49,1.52,5.18
1653401620787,-0.08,-0.04,-0.04,0.86,1.25,9.64,-10.07,0.99,5.25
1653401620796,-0.06,-0.03,0.01,0.84,1.24,9.69,-9.62,-0.02,5.64
1653401620806,-0.1,-0.03,0,0.82,1.22,9.7,-9.09,-1.28,5.99
1653401620817,-0.1,-0.03,-0.01,0.82,1.22,9.69,-8.6,-1.11,6.72
1653401620826,-0.01,-0.04,-0.06,0.88,1.18,9.64,-8.36,-0.69,7.7
1653401620837,0.03,-0.06,-0.09,0.96,1.15,9.59,-8.67,0.26,8.37
1653401620847,0.04,-0.01,-0.13,0.95,1.16,9.57,-10.04,1.34,8.54
1653401620856,0.02,-0.01,-0.09,0.94,1.17,9.59,-12.07,2.15,9.35
1653401620867,-0.05,0.01,0.03,0.89,1.15,9.68,-12.87,2.53,10.08
1653401620876,-0.09,-0.03,0.14,0.82,1.11,9.82,-12.38,2.22,10.64
1653401620887,-0.03,-0.02,0.2,0.85,1.1,9.9,-10.7,0.71,11.48
1653401620897,0.06,0,0.21,0.95,1.1,9.91,-8.5,-0.76,11.52
1653401620906,0.15,0.04,0.11,1.07,1.12,9.84,-6.68,-2.3,11.24
1653401620917,0.15,0.08,-0.02,1.08,1.13,9.71,-5.63,-4.29,10.54
1653401620927,0.14,0.09,-0.18,1.08,1.13,9.58,-5.84,-5.34,10.12
1653401620937,0.16,0.09,-0.29,1.1,1.13,9.45,-6.89,-6.53,9.45
1653401620946,0.13,0.1,-0.32,1.1,1.13,9.39,-8.74,-6.67,8.47
1653401620957,0.08,0.09,-0.2,1.05,1.1,9.48,-10.63,-5.66,7.67
1653401620966,0.02,0.05,-0.07,1.01,1.03,9.64,-12.45,-3.84,7.18
1653401620977,-0.04,-0.19,0.05,0.95,0.78,9.76,-13.75,-2.89,7.14
1653401620987,-0.8,-0.77,-0.07,0.22,0.16,9.64,-13.78,-12.59,13.55
1653401620996,-0.15,-0.49,0,0.74,0.38,9.68,-12.1,-12.24,16.56
1653401621006,0.3,-0.38,0.2,1.35,0.51,9.91,-9.55,-9.54,15.96
1653401621017,0.88,-0.15,0.54,1.84,0.82,10.18,-7.45,-14.27,14
1653401621027,0.95,-0.35,0.8,2.04,0.52,10.5,-3.53,-6.67,12.11
1653401621036,0.76,-0.09,0.73,1.89,0.74,10.47,0.01,0.85,9.24
1653401621047,0.59,0.03,0.55,1.73,0.87,10.3,0.92,2.43,6.79
1653401621057,0.56,0.07,0.36,1.65,0.93,10.07,0.25,1.94,4.38
1653401621067,0.64,0,0.05,1.73,0.86,9.76,-1.46,3.79,2.56
1653401621077,0.71,-0.1,-0.17,1.8,0.75,9.54,-4.09,7.75,1.37
1653401621087,0.74,-0.17,-0.31,1.81,0.68,9.41,-6.99,10.79,0.35
1653401621096,0.65,-0.09,-0.35,1.73,0.72,9.38,-9.44,11.39,-0.21
1653401621107,0.58,-0.01,-0.32,1.63,0.78,9.38,-10.77,10.06,-1.01
1653401621117,0.55,-0.02,-0.24,1.59,0.78,9.47,-11.02,6.77,-1.68
1653401621127,0.47,-0.05,-0.23,1.5,0.74,9.48,-9.65,2.99,-2.2
1653401621136,0.47,-0.09,-0.26,1.48,0.68,9.46,-7.87,1.31,-2.62
1653401621147,0.5,-0.13,-0.36,1.53,0.62,9.36,-6.54,0.05,-2.76
1653401621156,0.47,-0.13,-0.48,1.51,0.61,9.25,-5.7,-0.51,-3.53
1653401621167,0.43,-0.1,-0.63,1.49,0.62,9.11,-6.36,-1,-3.74
1653401621177,0.35,-0.04,-0.63,1.42,0.66,9.1,-8.01,-2.44,-3.95
1653401621186,0.33,-0.05,-0.56,1.39,0.65,9.14,-10.6,-3.24,-4.3
1653401621197,0.34,-0.06,-0.5,1.41,0.63,9.2,-12.17,-3.38,-4.44
1653401621207,0.3,-0.07,-0.42,1.4,0.59,9.3,-13.43,-3.56,-4.16
1653401621217,0.24,-0.04,-0.33,1.36,0.6,9.4,-14.31,-3.24,-4.27
1653401621227,0.24,-0.02,-0.23,1.38,0.59,9.5,-15.11,-3.42,-4.37
1653401621236,0.26,0.03,-0.05,1.4,0.61,9.62,-15.32,-4.54,-4.9
1653401621247,0.25,0.04,0.02,1.43,0.61,9.74,-14.59,-4.96,-5.6
1653401621257,0.24,0.04,0.05,1.42,0.59,9.76,-14.31,-5.48,-6.54
1653401621267,0.21,0.09,0.07,1.4,0.61,9.79,-14.13,-5.66,-6.65
1653401621277,0.19,0.14,0.13,1.39,0.65,9.85,-13.57,-5.87,-7
1653401621287,0.18,0.16,0.33,1.39,0.64,10.01,-13.5,-6.39,-7.49
1653401621297,0.2,0.16,0.45,1.42,0.62,10.17,-12.21,-5.76,-8.05
1653401621307,0.22,0.12,0.42,1.44,0.58,10.14,-10.95,-3.07,-8.26
1653401621317,0.25,0.08,0.34,1.48,0.52,10.06,-9.83,-0.97,-8.71
1653401621327,0.21,0.11,0.26,1.46,0.5,9.97,-9.34,-0.37,-9.38
1653401621337,0.13,0.12,0.28,1.38,0.52,9.99,-9.65,-0.86,-9.31
1653401621347,0.16,0.18,0.27,1.38,0.57,10.01,-9.37,-1.95,-9.52
1653401621357,0.17,0.15,0.23,1.41,0.52,9.98,-9.48,-2.23,-9.87
1653401621367,0.2,0.08,0.23,1.43,0.49,9.92,-10.07,-1.07,-10.25
1653401621377,0.18,0.05,0.19,1.42,0.4,9.9,-10.42,0.54,-10.53
1653401621387,0.1,0.05,0.2,1.34,0.39,9.92,-10.6,2.25,-10.32
1653401621397,0.04,0.08,0.28,1.27,0.4,10.01,-10.35,2.08,-10.5
1653401621407,-0.01,0.09,0.32,1.22,0.39,10.04,-8.78,2.67,-9.87
1653401621417,-0.06,0.05,0.23,1.18,0.38,10,-6.82,2.88,-9.38
1653401621427,-0.07,0.05,0.16,1.15,0.35,9.89,-4.75,2.99,-8.89
1653401621437,-0.11,0.09,0.03,1.1,0.38,9.76,-2.9,2.11,-8.19
1653401621447,-0.09,0.12,0.03,1.12,0.41,9.75,-2.3,1.62,-7.98
1653401621457,-0.05,0.14,-0.01,1.15,0.43,9.72,-1.5,2.11,-8.26
1653401621467,-0.02,0.08,-0.11,1.19,0.37,9.64,-0.94,3.65,-8.05
1653401621477,-0.05,0.06,-0.18,1.14,0.34,9.55,-1.57,4.63,-8.33
1653401621487,-0.17,0.07,-0.26,1.01,0.36,9.47,-2.44,4.6,-8.12
1653401621497,-0.29,0.14,-0.25,0.89,0.41,9.47,-3.39,4.49,-7.28
1653401621507,-0.32,0.12,-0.22,0.85,0.4,9.51,-4.05,3.58,-5.25
1653401621517,-0.26,0.1,-0.2,0.9,0.37,9.53,-4.93,2.57,-4.65
1653401621527,-0.15,0.08,-0.16,1.01,0.35,9.57,-6.99,1.83,-3.74
1653401621537,-0.12,0.11,-0.08,1.03,0.37,9.65,-7.31,0.85,-3.74
1653401621547,-0.17,0.05,0.05,0.99,0.33,9.75,-8.57,0.96,-3.64
1653401621557,-0.19,0.01,0.19,0.96,0.23,9.89,-8.46,1.34,-3.25
1653401621567,-0.22,-0.04,0.26,0.91,0.18,9.98,-8.36,2.5,-2.48
1653401621577,-0.24,-0.07,0.32,0.91,0.16,10.05,-7.38,3.62,-1.08
1653401621587,-0.2,-0.03,0.34,0.92,0.17,10.08,-5.84,5.3,-0.1
1653401621597,-0.21,0.01,0.3,0.91,0.2,10.05,-4.05,6.8,0.7
1653401621607,-0.16,-0.01,0.2,0.9,0.19,9.98,-2.9,7.22,1.02
1653401621617,-0.16,-0.04,0.06,0.93,0.17,9.84,-1.81,6.73,1.58
1653401621627,-0.16,-0.02,0.05,0.91,0.17,9.79,-2.13,5.93,1.96
1653401621637,-0.19,-0.05,0.05,0.88,0.16,9.81,-2.72,3.86,2.07
1653401621647,-0.21,-0.07,0.18,0.83,0.11,9.89,-3.25,2.15,2.7
1653401621657,-0.21,-0.08,0.29,0.84,0.09,10.04,-3.63,1.41,3.75
1653401621667,-0.27,-0.1,0.46,0.77,0.06,10.18,-2.62,1.24,4.73
1653401621678,-0.29,-0.08,0.58,0.74,0.07,10.31,-1.08,1.94,5.85
1653401621687,-0.25,-0.07,0.59,0.77,0.09,10.35,1.02,3.23,6.58
1653401621697,-0.26,-0.08,0.61,0.78,0.1,10.36,2.91,4.21,7.18
1653401621708,-0.25,-0.07,0.68,0.75,0.09,10.42,4.94,4.63,8.37
1653401621717,-0.29,-0.03,0.69,0.71,0.14,10.46,7.01,4,8.79
1653401621728,-0.24,-0.03,0.62,0.74,0.16,10.38,10.05,3.37,9
1653401621737,-0.29,-0.07,0.54,0.68,0.14,10.3,12.43,2.81,9.17
1653401621748,-0.39,-0.08,0.45,0.61,0.15,10.25,14.11,1.62,9.87
1653401621757,-0.61,-0.05,0.28,0.34,0.2,10.03,15.2,-0.51,12.32
1653401621768,-1.16,0.06,-0.36,-0.22,0.35,9.49,9.81,-8,23
1653401621777,-0.76,-0.14,-0.39,0.17,0.12,9.37,6.97,2.15,29.19
1653401621787,-0.1,-0.38,-0.16,0.74,-0.08,9.57,7.85,8.73,27.76
1653401621797,-0.04,-0.38,-0.17,0.88,-0.11,9.63,9.84,9.39,22.26
1653401621807,-0.23,-0.26,-0.25,0.65,0.05,9.51,13.87,11.74,14.63
1653401621818,-0.46,-0.22,-0.42,0.47,0.1,9.38,16.63,13.91,11.83
1653401621828,-0.6,-0.19,-0.53,0.22,0.17,9.23,19.71,15.2,10.08
1653401621838,-0.69,-0.24,-0.79,0.11,0.15,8.98,21.43,15.97,10.15
1653401621847,-0.72,-0.31,-0.99,0.05,0.12,8.78,20.52,16.46,10.75
1653401621858,-0.7,-0.39,-1.11,0.04,0.06,8.66,18.63,15.06,11.41
1653401621867,-0.8,-0.38,-1.16,-0.06,0.08,8.6,15.79,14.05,12.11
1653401621878,-0.86,-0.35,-1.09,-0.14,0.14,8.64,13.41,13.1,12.88
1653401621888,-0.89,-0.37,-1.02,-0.22,0.14,8.73,11.45,14.08,14.32
1653401621897,-0.86,-0.38,-0.98,-0.23,0.14,8.79,10.89,15.31,15.26
1653401621907,-0.83,-0.38,-1,-0.22,0.14,8.79,9.91,16.29,16
1653401621918,-0.82,-0.38,-1.04,-0.24,0.17,8.75,8.3,16.85,16.45
1653401621927,-0.86,-0.34,-1,-0.31,0.2,8.75,6.66,16.18,17.29
1653401621937,-0.84,-0.3,-0.94,-0.33,0.25,8.84,4.63,14.33,18.83
1653401621948,-0.81,-0.32,-0.92,-0.35,0.24,8.85,3.51,12.82,20.13
1653401621957,-0.75,-0.35,-0.88,-0.29,0.2,8.9,1.41,9.99,21.18
1653401621968,-0.64,-0.37,-0.76,-0.19,0.17,9.02,-0.34,5.33,22.3
1653401621977,-0.49,-0.35,-0.46,-0.09,0.17,9.26,-1.67,1.27,22.96
1653401621987,-0.38,-0.37,-0.22,0.05,0.16,9.48,-2.16,-0.97,23.14
1653401621998,-0.26,-0.42,-0.03,0.18,0.1,9.75,-2.48,-3.1,22.3
1653401622007,-0.26,-0.41,0.11,0.2,0.1,9.88,-2.3,-3.84,21.42
1653401622017,-0.31,-0.36,0.25,0.17,0.11,10.01,-2.48,-3.7,20.44
1653401622028,-0.33,-0.37,0.31,0.12,0.12,10.1,-2.37,-1.98,20.13
1653401622038,-0.31,-0.38,0.33,0.14,0.1,10.09,-2.51,-0.79,20.02
1653401622048,-0.31,-0.42,0.34,0.14,0.06,10.13,-2.97,0.47,19.57
1653401622057,-0.31,-0.39,0.33,0.14,0.07,10.11,-3.81,1.97,19.08
1653401622067,-0.23,-0.37,0.28,0.2,0.08,10.07,-3.91,4.35,18.34
1653401622078,-0.22,-0.32,0.2,0.21,0.12,9.99,-3.98,6.98,17.12
1653401622087,-0.26,-0.28,0.06,0.15,0.15,9.85,-4.58,9.01,16.14
1653401622098,-0.28,-0.22,0.01,0.11,0.2,9.8,-4.61,9.6,15.33
1653401622107,-0.32,-0.21,-0.04,0.05,0.2,9.75,-4.79,10.06,13.86
1653401622117,-0.3,-0.2,-0.12,0.06,0.19,9.67,-5,10.23,12.74
1653401622128,-0.3,-0.2,-0.15,0.05,0.19,9.64,-5.87,9.08,11.59
1653401622137,-0.37,-0.15,-0.15,-0.04,0.22,9.65,-7.06,7.29,10.22
1653401622148,-0.41,-0.14,-0.04,-0.1,0.22,9.75,-8.08,6.03,9.52
1653401622157,-0.37,-0.1,0.06,-0.07,0.24,9.86,-8.5,5.16,9.56
1653401622168,-0.28,-0.13,0.2,0.02,0.19,9.99,-8.36,5.58,8.54
1653401622178,-0.22,-0.14,0.26,0.05,0.18,10.04,-8.29,6.24,7.95
1653401622188,-0.22,-0.14,0.28,0.05,0.15,10.08,-8.99,6.73,6.97
1653401622198,-0.15,-0.12,0.37,0.09,0.15,10.13,-9.76,6.94,6.06
1653401622208,-0.1,-0.14,0.51,0.12,0.13,10.27,-10.95,5.93,5.15
1653401622218,-0.01,-0.15,0.68,0.21,0.08,10.44,-11.89,5.93,4.31
1653401622228,0.02,-0.15,0.81,0.26,0.08,10.58,-12.1,6.42,3.22
1653401622238,-0.02,-0.15,0.93,0.21,0.05,10.73,-11.37,7.33,2.28
1653401622247,-0.05,-0.13,0.98,0.16,0.05,10.78,-9.58,9.81,1.44
1653401622260,-0.05,-0.12,0.93,0.15,0.05,10.78,-7.27,12.82,1.16
1653401622271,-0.07,-0.11,0.73,0.09,0.05,10.59,-4.26,15.17,0.95
1653401622280,-0.03,-0.1,0.53,0.09,0.05,10.37,-1.85,15.41,0.77
1653401622290,0.02,-0.06,0.34,0.12,0.09,10.15,-0.13,12.72,0.39
1653401622300,0.04,-0.04,0.21,0.13,0.1,10.05,0.92,10.62,-0.21
1653401622310,0.02,-0.04,0.08,0.09,0.11,9.89,0.99,8.27,-1.22
1653401622320,-0.02,-0.05,0,0.05,0.1,9.8,0.6,7.78,-1.75
1653401622330,-0.11,-0.04,-0.05,-0.07,0.12,9.76,-0.48,7.57,-1.96
1653401622340,-0.18,-0.05,-0.06,-0.15,0.11,9.75,-0.73,8.1,-1.78
1653401622350,-0.24,-0.08,-0.08,-0.22,0.08,9.72,-1.08,9.39,-0.98
